idItinerario,DataHoraPartida,DataHoraChegada,Percurso
"1","2016-12-01 08:00:00","2016-12-01 12:30:00","1"
"2","2016-12-01 10:00:00","2016-12-01 14:30:00","5"
"3","2016-12-01 10:00:00","2016-12-01 14:30:00","3"
"4","2016-12-01 15:00:00","2016-12-01 20:30:00","4"
"5","2016-12-01 15:00:00","2016-12-01 20:30:00","6"
"6","2016-12-01 17:00:00","2016-12-01 20:00:00","2"
"7","2016-12-02 08:00:00","2016-12-02 12:30:00","1"
"8","2016-12-02 09:00:00","2016-12-04 01:00:00","11"
"9","2016-12-02 10:00:00","2016-12-02 14:30:00","5"
"10","2016-12-02 10:00:00","2016-12-02 14:30:00","3"
"11","2016-12-02 15:00:00","2016-12-02 20:30:00","4"
"12","2016-12-02 15:00:00","2016-12-02 20:30:00","6"
"13","2016-12-02 17:00:00","2016-12-02 20:00:00","2"
"14","2016-12-03 00:09:00","2016-12-04 01:00:00","13"
"15","2016-12-03 00:09:00","2016-12-04 01:00:00","14"
"16","2016-12-03 08:00:00","2016-12-03 12:30:00","1"
"17","2016-12-03 10:00:00","2016-12-03 14:30:00","5"
"18","2016-12-03 10:00:00","2016-12-03 14:30:00","3"
"19","2016-12-03 15:00:00","2016-12-03 20:30:00","4"
"20","2016-12-03 15:00:00","2016-12-03 20:30:00","6"
"21","2016-12-03 17:00:00","2016-12-03 20:00:00","2"
"22","2016-12-04 06:00:00","2016-12-04 22:00:00","7"
"23","2016-12-04 08:00:00","2016-12-04 12:30:00","1"
"24","2016-12-04 10:00:00","2016-12-04 14:30:00","5"
"25","2016-12-04 10:00:00","2016-12-04 14:30:00","3"
"26","2016-12-04 15:00:00","2016-12-04 20:30:00","4"
"27","2016-12-04 15:00:00","2016-12-04 20:30:00","6"
"28","2016-12-04 17:00:00","2016-12-04 20:00:00","2"
"29","2016-12-05 05:00:00","2016-12-07 02:00:00","8"
"30","2016-12-05 08:00:00","2016-12-05 12:30:00","1"
"31","2016-12-05 10:00:00","2016-12-05 14:30:00","5"
"32","2016-12-05 10:00:00","2016-12-05 14:30:00","3"
"33","2016-12-05 15:00:00","2016-12-05 20:30:00","4"
"34","2016-12-05 15:00:00","2016-12-05 20:30:00","6"
"35","2016-12-05 17:00:00","2016-12-05 20:00:00","2"
"36","2016-12-06 08:00:00","2016-12-06 12:30:00","1"
"37","2016-12-06 09:00:00","2016-12-08 05:00:00","12"
"38","2016-12-06 10:00:00","2016-12-06 14:30:00","5"
"39","2016-12-06 10:00:00","2016-12-06 14:30:00","3"
"40","2016-12-06 15:00:00","2016-12-06 20:30:00","4"
"41","2016-12-06 15:00:00","2016-12-06 20:30:00","6"
"42","2016-12-06 17:00:00","2016-12-06 20:00:00","2"
"43","2016-12-07 08:00:00","2016-12-07 12:30:00","1"
"44","2016-12-07 09:00:00","2016-12-08 02:00:00","10"
"45","2016-12-07 10:00:00","2016-12-07 14:30:00","5"
"46","2016-12-07 10:00:00","2016-12-07 14:30:00","3"
"47","2016-12-07 15:00:00","2016-12-07 20:30:00","4"
"48","2016-12-07 15:00:00","2016-12-07 20:30:00","6"
"49","2016-12-07 17:00:00","2016-12-07 20:00:00","2"
"50","2016-12-08 08:00:00","2016-12-08 12:30:00","1"
"51","2016-12-08 10:00:00","2016-12-08 14:30:00","5"
"52","2016-12-08 10:00:00","2016-12-08 14:30:00","3"
"53","2016-12-08 15:00:00","2016-12-08 20:30:00","4"
"54","2016-12-08 15:00:00","2016-12-08 20:30:00","6"
"55","2016-12-08 17:00:00","2016-12-08 20:00:00","2"
"56","2016-12-09 08:00:00","2016-12-09 12:30:00","1"
"57","2016-12-09 09:00:00","2016-12-11 01:00:00","11"
"58","2016-12-09 10:00:00","2016-12-09 14:30:00","5"
"59","2016-12-09 10:00:00","2016-12-09 14:30:00","3"
"60","2016-12-09 15:00:00","2016-12-09 20:30:00","4"
"61","2016-12-09 15:00:00","2016-12-09 20:30:00","6"
"62","2016-12-09 17:00:00","2016-12-09 20:00:00","2"
"63","2016-12-10 00:09:00","2016-12-11 01:00:00","13"
"64","2016-12-10 00:09:00","2016-12-11 01:00:00","14"
"65","2016-12-10 08:00:00","2016-12-10 12:30:00","1"
"66","2016-12-10 10:00:00","2016-12-10 14:30:00","5"
"67","2016-12-10 10:00:00","2016-12-10 14:30:00","3"
"68","2016-12-10 15:00:00","2016-12-10 20:30:00","4"
"69","2016-12-10 15:00:00","2016-12-10 20:30:00","6"
"70","2016-12-10 17:00:00","2016-12-10 20:00:00","2"
"71","2016-12-11 06:00:00","2016-12-11 22:00:00","7"
"72","2016-12-11 08:00:00","2016-12-11 12:30:00","1"
"73","2016-12-11 10:00:00","2016-12-11 14:30:00","5"
"74","2016-12-11 10:00:00","2016-12-11 14:30:00","3"
"75","2016-12-11 15:00:00","2016-12-11 20:30:00","4"
"76","2016-12-11 15:00:00","2016-12-11 20:30:00","6"
"77","2016-12-11 17:00:00","2016-12-11 20:00:00","2"
"78","2016-12-12 05:00:00","2016-12-14 02:00:00","8"
"79","2016-12-12 08:00:00","2016-12-12 12:30:00","1"
