Morford	Mark P. O.
Wright	Richard Bruce
D'Este	Carlo
Kolata	Gina Bari
Barber	E. J. W.
Tan	Amy
Cowley	Robert
Turow	Scott
Cordingly	David
Beattie	Ann
Richards	David Adams
Lebor	Adam
Heti	Sheila
Kaiser	R. J.
Canfield	Jack
Estleman	Loren D.
Hendrickson	Robert
Oliver	Julia
Grisham	John
Morrison	Toni
Onion	The
Brown	Celia Brooks
Parrish	J. R.
Olsen	Mary-Kate Ashley
Clairday	Robynn
Duey	Kathleen
Shapero	Rich
Crichton	Michael
CRICHTON	MICHAEL
Lewis	C.S.
PHILLIPS	ARTHUR
Jaramillo	Stephan
Richler	Mordecai
Cooney	Eleanor
Link	Charlotte
Patterson	Richard North
Salzman	Mark
Lee	Harper
HILLENBRAND	LAURA
Kingsolver	Barbara
Dereske	Jo
Austen	Jane
Krieger	Dolores
Siddons	Anne Rivers
Koontz	Dean R.
Clark	Mary Higgins
Koontz	Dean
Cornwell	Patricia
Robb	J.D.
Binchy	Maeve
Mixon	Laura J.
Lahaye	Tim
GRISHAM	JOHN
Siegel	M.D. Bernie S.
Warren	Robert Penn
Hoefer	Hans Johannes
Helprin	Mark
Md	O. Carol Simonton
Hill	Chuck
Iglehart	David
McMurtry	Larry
STAPLES	SUZANNE FISHER
Tournier	Michel
Sagan	Carl
Zinoviev	Aleksandr
Tyler	Anne
Conrad	Joseph
Chopra	Deepak
Hardy	Thomas
Noland	Charles
Frankel	Valerie
Hoff	Benjamin
Machiavelli	Niccolo
Brown	H. Jackson
Heinlein	Robert A.
PULLMAN	PHILIP
Sewell	Anna
ONDAATJE	MICHAEL
Ceren	Sandra Levy
O'Rourke	P.J.
Gayle	Mike
Pavlou	Stel
Stuart	Sarah Payne
Quayle	Dan
Kettl	Donald F.
FRUM	DAVID
Lamour	Louis
Salinger	J.D.
Tolkien	J. R. R.
Berendt	John
Crusie	Jennifer
Heller	Jane
Rips	Michael
Mawer	Simon
Abrahams	William
Kiyosaki	Robert T.
Follett	Ken
Love	John F.
Allen	Robert G.
BERNIERES	LOUIS DE
Proctor	Pam
Albom	Mitch
Frei	Irene Gonzalez
Friedman	Michael Jan
Swarthout	Glendon
Jr.	Neal Barrett
Morrell	David
Brown	Sandra
Patterson	James
Woods	Stuart
JOHANSEN	IRIS
Brown	Dan
Hutsko	Joe
Shreve	Anita
Rule	Ann
GRIZZARD	LEWIS
Theroux	Paul
Grizzard	Lewis
Hickey	Charles
King	Stephen
Mezrich	Ben
Hand	Bill
Clancy	Tom
REEVE	DANA
Metzger	Barbara
Marquez	Gabriel Garcia
Wells	Rebecca
Hillerman	Tony
Waller	Robert James
Harris	Rachel
MCEWAN	IAN
Lewis	Michael
Zimler	Richard
Jetmundsen	Norman
Carcaterra	Lorenzo
Frasier	Anne
Hooper	Kay
Kierkegaard	Soren
